case_id,qid,system_gap_type,blind_judgment
1,0290cd840baf11ebab90acde48001122,complete,ambiguous
2,05c81d7a0bde11eba7f7acde48001122,complete,match
3,07fd4f9b088011ebbd6cac1f6bf848b6,complete,match
4,086e57720bdb11eba7f7acde48001122,complete,match
5,143e7bfe0bdb11eba7f7acde48001122,complete,match
6,1815632c0bdc11eba7f7acde48001122,complete,mismatch
7,277abef40bda11eba7f7acde48001122,complete,match
8,3bd5e3b00bda11eba7f7acde48001122,complete,match
9,53e18b8c0bb011ebab90acde48001122,complete,ambiguous
10,60f247280bdb11eba7f7acde48001122,complete,match
11,680863e20bdd11eba7f7acde48001122,complete,match
12,6c9b4c03086911ebbd5eac1f6bf848b6,complete,match
13,77bf469e0bdc11eba7f7acde48001122,complete,ambiguous
14,7e815a440bdc11eba7f7acde48001122,complete,mismatch
15,80774c5508f911ebbdaaac1f6bf848b6,complete,match
16,84cf37580bb011ebab90acde48001122,complete,ambiguous
17,8531b4a0089a11ebbd77ac1f6bf848b6,complete,ambiguous
18,8ee8432c0bda11eba7f7acde48001122,complete,match
19,90d48f160bd911eba7f7acde48001122,complete,match
20,9cf73a920bdd11eba7f7acde48001122,complete,match
21,a07044500bda11eba7f7acde48001122,complete,ambiguous
22,ab1d47a108d211ebbd96ac1f6bf848b6,complete,match
23,afbfedfc08c411ebbd8eac1f6bf848b6,complete,match
24,c289098a0bdc11eba7f7acde48001122,complete,match
25,c30906a60bd911eba7f7acde48001122,complete,mismatch
26,ce9cda1608a111ebbd79ac1f6bf848b6,complete,match
27,ceadeee60bdd11eba7f7acde48001122,complete,match
28,d17b3e17085511ebbd59ac1f6bf848b6,complete,match
29,d18d25fa084f11ebbd56ac1f6bf848b6,complete,mismatch
30,d2781aee086611ebbd5eac1f6bf848b6,complete,match
31,dfe5c5e8088211ebbd6dac1f6bf848b6,complete,match
32,e715b66708be11ebbd8aac1f6bf848b6,complete,match
33,efa871c8085611ebbd59ac1f6bf848b6,complete,match
34,fbef09ef089511ebbd75ac1f6bf848b6,complete,mismatch
35,0dc3d0280bde11eba7f7acde48001122,disconnected,match
36,1a3535d20bdd11eba7f7acde48001122,disconnected,mismatch
37,3004bc240bde11eba7f7acde48001122,disconnected,mismatch
38,69ef20980bdc11eba7f7acde48001122,disconnected,match
39,6d68448a0bdb11eba7f7acde48001122,disconnected,ambiguous
40,6de887fc0bdc11eba7f7acde48001122,disconnected,match
41,91edc89c0bdc11eba7f7acde48001122,disconnected,match
42,b7afade20bdd11eba7f7acde48001122,disconnected,mismatch
43,cd0964240bda11eba7f7acde48001122,disconnected,match
44,f1c093bc0bdc11eba7f7acde48001122,disconnected,match
45,fa5c2aa80bdd11eba7f7acde48001122,disconnected,mismatch
46,0083038e0bde11eba7f7acde48001122,missing_entities,mismatch
47,00efceca0bb011ebab90acde48001122,missing_entities,mismatch
48,01eaac71085c11ebbd5cac1f6bf848b6,missing_entities,match
49,063270da08af11ebbd83ac1f6bf848b6,missing_entities,match
50,0a9f880a0bda11eba7f7acde48001122,missing_entities,mismatch
51,20806979089c11ebbd78ac1f6bf848b6,missing_entities,match
52,237d904a0bdc11eba7f7acde48001122,missing_entities,mismatch
53,3641d5c60bda11eba7f7acde48001122,missing_entities,match
54,36ba28ed089611ebbd76ac1f6bf848b6,missing_entities,mismatch
55,38056cd40bde11eba7f7acde48001122,missing_entities,match
56,385457c20bde11eba7f7acde48001122,missing_entities,ambiguous
57,3c9020cd097811ebbdb0ac1f6bf848b6,missing_entities,mismatch
58,57c03881088f11ebbd72ac1f6bf848b6,missing_entities,match
59,5df2d970087a11ebbd67ac1f6bf848b6,missing_entities,match
60,5eb334660bdd11eba7f7acde48001122,missing_entities,match
61,61c4c7c008de11ebbd9eac1f6bf848b6,missing_entities,match
62,6db45b3208bf11ebbd8aac1f6bf848b6,missing_entities,match
63,7b33f605088411ebbd6dac1f6bf848b6,missing_entities,match
64,84d526bd088711ebbd6dac1f6bf848b6,missing_entities,match
65,885ba7220bdc11eba7f7acde48001122,missing_entities,mismatch
66,9078bc380baf11ebab90acde48001122,missing_entities,mismatch
67,9564cd35089311ebbd75ac1f6bf848b6,missing_entities,mismatch
68,a3939d3b08a111ebbd79ac1f6bf848b6,missing_entities,mismatch
69,b34f43d1087b11ebbd69ac1f6bf848b6,missing_entities,match
70,b4399e48089511ebbd75ac1f6bf848b6,missing_entities,match
71,b77d6f620bdd11eba7f7acde48001122,missing_entities,ambiguous
72,c4dfdd5608aa11ebbd80ac1f6bf848b6,missing_entities,match
73,c8edf21008d811ebbd9cac1f6bf848b6,missing_entities,match
74,dd41d993086b11ebbd60ac1f6bf848b6,missing_entities,match
75,e0681b8c0bda11eba7f7acde48001122,missing_entities,mismatch
76,ef5046be0bae11ebab90acde48001122,missing_entities,ambiguous
77,f66aecd208bc11ebbd89ac1f6bf848b6,missing_entities,match
78,f8819f3308a011ebbd78ac1f6bf848b6,missing_entities,match
79,fcc41df80bda11eba7f7acde48001122,missing_entities,match
80,ff2926840bd911eba7f7acde48001122,missing_entities,mismatch
81,060cb332087711ebbd67ac1f6bf848b6,short_chain,mismatch
82,0bad718c0bb011ebab90acde48001122,short_chain,mismatch
83,1ca3370c0bdc11eba7f7acde48001122,short_chain,ambiguous
84,3ad797c60bdd11eba7f7acde48001122,short_chain,mismatch
85,40b3f66a08cb11ebbd92ac1f6bf848b6,short_chain,mismatch
86,6b0a2728087811ebbd67ac1f6bf848b6,short_chain,mismatch
87,75a4468108ca11ebbd92ac1f6bf848b6,short_chain,mismatch
88,87ceaacc0bda11eba7f7acde48001122,short_chain,match
89,8f4637ae0bdd11eba7f7acde48001122,short_chain,mismatch
90,955eafcc089f11ebbd78ac1f6bf848b6,short_chain,mismatch
91,95f1b1b6087511ebbd67ac1f6bf848b6,short_chain,match
