dataset,qid,type,em,f1,risk_score,graph_audit_score,risk_bin,audit_state,gap_type,answer_selected,answer_not_selected,chain_incomplete,residual_graph_gap,unrepaired_incomplete
hotpot,5a7b1e22554299042af8f6e4,bridge,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5ae0e183554299422ee9953f,comparison,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a88e3cc5542997e5c09a6c2,bridge,0.0,0.5,0,0,0,verified_complete,complete,True,False,False,False,False
hotpot,5ae0c29c5542993d6555ec46,bridge,0.0,0.0,2,0,2,verified_complete,complete,False,True,False,False,False
hotpot,5ae796af554299540e5a5623,bridge,1.0,1.0,1,1,1,repaired_incomplete,missing_entities,True,False,True,False,False
hotpot,5abbcfaf5542993f40c73ba9,bridge,1.0,1.0,2,2,2,repaired_incomplete,disconnected,True,False,True,True,False
hotpot,5a738b855542992d56e7e363,comparison,1.0,1.0,0,0,0,verified_complete,complete,True,False,False,False,False
hotpot,5a8b7e9c5542995d1e6f13c1,comparison,0.0,0.0,4,2,4+,repaired_incomplete,short_chain,False,True,True,True,False
hotpot,5a840e395542992ef85e239d,comparison,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5ae5415055429908b63265b7,bridge,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a7ca74c55429907fabeefe9,comparison,1.0,1.0,3,3,3,unrepaired_incomplete,short_chain,True,False,True,True,True
hotpot,5ab465095542991751b4d75a,bridge,0.0,0.0,2,0,2,repaired_complete,complete,False,True,False,False,False
hotpot,5ae763aa5542995703ce8c09,bridge,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a8f7c9a55429918e830d239,bridge,1.0,1.0,1,1,1,repaired_incomplete,missing_entities,True,False,True,False,False
hotpot,5ae383e15542992f92d822fb,comparison,0.0,0.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5adcd4325542994d58a2f6ed,comparison,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a7a33205542996a35c1712f,bridge,1.0,1.0,1,1,1,repaired_incomplete,missing_entities,True,False,True,False,False
hotpot,5a8459aa5542996488c2e51e,bridge,1.0,1.0,2,2,2,repaired_incomplete,short_chain,True,False,True,True,False
hotpot,5ae39e9c5542990afbd1e195,bridge,1.0,1.0,0,0,0,verified_complete,complete,True,False,False,False,False
hotpot,5ae4d0ff55429913cc204511,comparison,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a85fa815542996432c57155,bridge,0.0,0.0,1,1,1,repaired_incomplete,missing_entities,True,False,True,False,False
hotpot,5a89e4585542992e4fca8454,bridge,0.0,0.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a7148d25542994082a3e766,comparison,1.0,1.0,0,0,0,verified_complete,complete,True,False,False,False,False
hotpot,5ab29c24554299449642c932,comparison,1.0,1.0,0,0,0,repaired_complete,complete,True,False,False,False,False
hotpot,5a7cdcbf55429907fabef04f,comparison,0.0,0.3636,3,1,3,repaired_incomplete,missing_entities,False,True,True,False,False
hotpot,5a863114554299211dda2aa5,bridge,0.0,0.6667,1,1,1,repaired_incomplete,missing_entities,True,False,True,False,False
hotpot,5adec53655429975fa854f87,comparison,1.0,1.0,0,0,0,verified_complete,complete,True,False,False,False,False
