dataset,sample_index,qid,type,question,gold,prediction,em,f1,system_gap_type,system_chain_complete,gold_entity_coverage,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_nodes_connected,reader_support_title_recall,reader_evidence_entity_coverage,matched_gold_entities,missing_gold_entities,gold_evidences,strict_chain_judge,support_sufficiency_judge,conservative_meta_judge,majority_adjudication,match_votes,mismatch_votes,ambiguous_votes,adjudicated_correct,adjudication_confidence,primary_disagreement,rationale
2wiki,1,0290cd840baf11ebab90acde48001122,inference,"Who is Donnchadh Iv, Earl Of Fife's father-in-law?",Ralph de Monthermer,Ralph de Monthermer,1.0,1.0,complete,True,1.0,0.5,0.0,False,False,1.0,1.0,"Donnchadh IV, Earl of Fife | Mary de Monthermer | Ralph de Monthermer",,"Donnchadh IV, Earl of Fife --spouse--> Mary de Monthermer | Mary de Monthermer --father--> Ralph de Monthermer",mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,2,05c81d7a0bde11eba7f7acde48001122,compositional,What is the place of birth of the director of film Claustrophobia (2003 Film)?,Danvers,"Danvers, Massachusetts, U.S",0.0,0.5,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Claustrophobia | Mark Tapio Kines,Danvers,Claustrophobia --director--> Mark Tapio Kines | Mark Tapio Kines --place of birth--> Danvers,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,3,07fd4f9b088011ebbd6cac1f6bf848b6,comparison,"Which film was released earlier, Cloud Dancer or Ingmar'S Inheritance?",Ingmar'S Inheritance,Ingmar'S Inheritance,1.0,1.0,complete,True,0.6,0.0,0.0,False,False,1.0,1.0,Cloud Dancer | Ingmar'S Inheritance | Ingmar's Inheritance,1925 | 1980,Cloud Dancer --publication date--> 1980 | Ingmar's Inheritance --publication date--> 1925,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,4,086e57720bdb11eba7f7acde48001122,compositional,What nationality is Julia Parker (Astrologer)'s husband?,British,British,1.0,1.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Derek Parker | Julia Parker,British,Julia Parker --spouse--> Derek Parker | Derek Parker --country of citizenship--> British,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,5,143e7bfe0bdb11eba7f7acde48001122,compositional,Where was the father of R. Whidden Ganong born?,"St. Stephen, New Brunswick",St. Stephen,0.0,0.6667,complete,True,1.0,0.5,0.0,False,True,1.0,1.0,"Arthur D. Ganong | Rendol Whidden Ganong | St. Stephen, New Brunswick",,"Rendol Whidden Ganong --father--> Arthur D. Ganong | Arthur D. Ganong --place of birth--> St. Stephen, New Brunswick",mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,6,1815632c0bdc11eba7f7acde48001122,compositional,Which country the director of film Vendetta (1986 Film) is from?,New Zealand,United States,0.0,0.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Bruce Logan | Vendetta,New Zealand,Vendetta --director--> Bruce Logan | Bruce Logan --country of citizenship--> New Zealand,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,7,277abef40bda11eba7f7acde48001122,compositional,What is the date of death of Vlatko Vuković's father?,1359,1359,1.0,1.0,complete,True,0.6666666666666666,0.0,0.0,False,False,1.0,1.0,1359 | Vlatko Vuković,Vuk Kosača,Vlatko Vuković --father--> Vuk Kosača | Vuk Kosača --date of death--> 1359,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,8,3bd5e3b00bda11eba7f7acde48001122,compositional,When did Augustus Henry Seward's mother die?,"June 21, 1865","June 21, 1865",1.0,1.0,complete,True,0.6666666666666666,0.5,0.5,False,False,1.0,1.0,Augustus Henry Seward | Frances Adeline Seward,"June 21, 1865","Augustus Henry Seward --mother--> Frances Adeline Seward | Frances Adeline Seward --date of death--> June 21, 1865",mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,9,53e18b8c0bb011ebab90acde48001122,inference,"Who is Ailwyn Fellowes, 1St Baron Ailwyn's paternal grandfather?",William Henry Fellowes,William Henry Fellowes,1.0,1.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Edward Fellowes | William Henry Fellowes, Ailwyn, Ailwyn --father--> Edward Fellowes | Edward Fellowes --father--> William Henry Fellowes,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,10,60f247280bdb11eba7f7acde48001122,compositional,What is the place of birth of the director of film Yoogan?,Kovilpatti,Kovilpatti,1.0,1.0,complete,True,1.0,1.0,0.0,True,True,1.0,1.0,Kamal G | Kovilpatti | Yoogan,,Yoogan --director--> Kamal G | Kamal G --place of birth--> Kovilpatti,match,match,match,match,3,0,0,True,high,False,strict_chain_reviewer=match: Gold evidence endpoint pairs are complete and their matched nodes are connected. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=match: Answer and support visibility are strong enough to accept the complete label as reviewer-facing.
