qid,question,gold,current,current_rule,current_em,current_f1,best_answer,best_source,best_field,best_em,best_f1,classification,exact_candidate_sources
5a7b1e22554299042af8f6e4,What award won by only twelve people has a man who Ted Kooshian has performed with won?,EGOT,EGOT,current_v4,1,1.0000,EGOT,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=EGOT | hotpot1000_comagraag_body_selector_v4:prediction=EGOT | hotpot1000_comagraag_body_selector_v4:current_answer=EGOT | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=EGOT | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=EGOT
5ae0e183554299422ee9953f,"Did Qionghai or Suining  have a population of 658,798 in 2002? ","In 2002, Suining had a population of 658,798.",Suining,current_v4,0,0.2500,"In 2002, Suining had a population of 658,798",hotpot1000_comagraag_two_stage_clean_pilot50,deterministic_candidates,1,1.0000,selector_miss_exact_candidate,"hotpot1000_comagraag_two_stage_clean_pilot50:deterministic_candidates=In 2002, Suining had a population of 658,798"
5a88e3cc5542997e5c09a6c2,What location is shared by both Great Neck School District and Saddle Rock Elementary School?,"New York, United States","Great Neck, New York",current_v4,0,0.5000,"Great Neck, New York",hotpot1000_comagraag_body_selector_v4,answer,0,0.5000,partial_candidate_no_improvement,
5ae0c29c5542993d6555ec46,What was the profession of the one who wrote a song on a 2005 album he collaborated on with Marc Predka?,"professional wrestler, actor, and hip hop musician",hip hop artist,current_v4,0,0.4000,hip hop artist,hotpot1000_comagraag_body_selector_v4,answer,0,0.4000,partial_candidate_no_improvement,
5ae796af554299540e5a5623,"Where was the capital of the Arab country, in which the Aulacodes peribocalis moth is found, relocated to?  ",Aden,Aden,current_v4,1,1.0000,Aden,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Aden | hotpot1000_comagraag_body_selector_v4:prediction=Aden | hotpot1000_comagraag_body_selector_v4:current_answer=Aden | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Aden | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Aden
5abbcfaf5542993f40c73ba9,Nicole Gordon won a silver medal with Sara Petersen int he women's doubles at a competition held in what city?,Manchester,Manchester,current_v4,1,1.0000,Manchester,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Manchester | hotpot1000_comagraag_body_selector_v4:prediction=Manchester | hotpot1000_comagraag_body_selector_v4:current_answer=Manchester | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Manchester | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Manchester
5a738b855542992d56e7e363,"Which hospital opened first, St. Elizabeths Hospital or Providence Hospital?",St. Elizabeths Hospital,St. Elizabeths Hospital,current_v4,1,1.0000,St. Elizabeths Hospital,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=St. Elizabeths Hospital | hotpot1000_comagraag_body_selector_v4:prediction=St. Elizabeths Hospital | hotpot1000_comagraag_body_selector_v4:current_answer=St. Elizabeths Hospital | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=St. Elizabeths Hospital | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=St. Elizabeths Hospital
5a8b7e9c5542995d1e6f13c1,Psychopsis and Aubrieta are both genuses of which type of plants?,flowering plants,flowering plants,current_v4,1,1.0000,flowering plants,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=flowering plants | hotpot1000_comagraag_body_selector_v4:prediction=flowering plants | hotpot1000_comagraag_body_selector_v4:current_answer=flowering plants | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=flowering plants | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=flowering plants
5a840e395542992ef85e239d,Are both The Straight Story and Frozen films of the same genre?,no,no,current_v4,1,1.0000,no,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=no | hotpot1000_comagraag_body_selector_v4:prediction=no | hotpot1000_comagraag_body_selector_v4:current_answer=no | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=no | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=no
5ae5415055429908b63265b7,Japanese Weekend School of New York has offices in the entertainment complex in what section of New Rochelle?,Downtown,Downtown,current_v4,1,1.0000,Downtown,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Downtown | hotpot1000_comagraag_body_selector_v4:prediction=Downtown | hotpot1000_comagraag_body_selector_v4:current_answer=Downtown | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Downtown | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Downtown
5a7ca74c55429907fabeefe9,Who was born first Edward Keonjian or Aram Saroyan?,Dr. Edward Keonjian,Dr. Edward Keonjian,current_v4,1,1.0000,Dr. Edward Keonjian,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Dr. Edward Keonjian | hotpot1000_comagraag_body_selector_v4:prediction=Dr. Edward Keonjian | hotpot1000_comagraag_body_selector_v4:current_answer=Dr. Edward Keonjian | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Dr. Edward Keonjian | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Dr. Edward Keonjian
5ab465095542991751b4d75a,During which period the sedan variant of the Volvo V50 car was manufactured?,1995 to 2012,2004–2012,current_v4,0,0.0000,1995,hotpot1000_comagraag_type_aware_candidate_reader_pilot20,deterministic_candidates,0,0.5000,partial_candidate_improves_f1,
5ae763aa5542995703ce8c09,Who voices Chef Mung Daal in the American animated television series created by C. H. Greenblatt?,William Dwight Schultz,William Dwight Schultz,current_v4,1,1.0000,William Dwight Schultz,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=William Dwight Schultz | hotpot1000_comagraag_body_selector_v4:prediction=William Dwight Schultz | hotpot1000_comagraag_body_selector_v4:current_answer=William Dwight Schultz | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=William Dwight Schultz | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=William Dwight Schultz
5a8f7c9a55429918e830d239,Which NFL team did both Don Looney and DeSean Jackson play for?,Philadelphia Eagles,Philadelphia Eagles,current_v4,1,1.0000,Philadelphia Eagles,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Philadelphia Eagles | hotpot1000_comagraag_body_selector_v4:prediction=Philadelphia Eagles | hotpot1000_comagraag_body_selector_v4:current_answer=Philadelphia Eagles | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Philadelphia Eagles | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Philadelphia Eagles
5ae383e15542992f92d822fb,"Which film is newer, The Apple Dumpling Gang or Heavyweights?",Heavyweights,Heavyweights,current_v4,1,1.0000,Heavyweights,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Heavyweights | hotpot1000_comagraag_body_selector_v4:prediction=Heavyweights | hotpot1000_comagraag_body_selector_v4:current_answer=Heavyweights | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Heavyweights | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Heavyweights
5adcd4325542994d58a2f6ed,Are Colocasia and Coronilla both flowering plants?,yes,yes,current_v4,1,1.0000,yes,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=yes | hotpot1000_comagraag_body_selector_v4:prediction=yes | hotpot1000_comagraag_body_selector_v4:current_answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=yes
5a7a33205542996a35c1712f,"Out of two American colonies that had a series of skirmishes and raids between 1701 and 1765 at the disputed border, which British proprietary colony became a royal colony on the northeast coast of North America?",Province of New York,Province of New York,current_v4,1,1.0000,Province of New York,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Province of New York | hotpot1000_comagraag_body_selector_v4:prediction=Province of New York | hotpot1000_comagraag_body_selector_v4:current_answer=Province of New York | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Province of New York | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Province of New York
5a8459aa5542996488c2e51e, Kenneth Anderson served under the General who was which President of the United States?,34th,Dwight D. Eisenhower,current_v4,0,0.0000,Dwight D. Eisenhower,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5ae39e9c5542990afbd1e195,"Wangaratta Wahine, an album featuring the work of an Australian Living Treasure, was recorded by what band?",The Captain Matchbox Whoopee Band,The Captain Matchbox Whoopee Band,current_v4,1,1.0000,The Captain Matchbox Whoopee Band,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=The Captain Matchbox Whoopee Band | hotpot1000_comagraag_body_selector_v4:prediction=The Captain Matchbox Whoopee Band | hotpot1000_comagraag_body_selector_v4:current_answer=The Captain Matchbox Whoopee Band | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=The Captain Matchbox Whoopee Band | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=The Captain Matchbox Whoopee Band
5ae4d0ff55429913cc204511,Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,Greek Fire,The Smashing Pumpkins,current_v4,0,0.0000,Greek Fire,hotpot1000_comagraag_type_aware_candidate_reader_pilot20,answer,1,1.0000,selector_miss_exact_candidate,hotpot1000_comagraag_type_aware_candidate_reader_pilot20:answer=Greek Fire | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:prediction=Greek Fire | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:reader_answer=Greek Fire | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:reader_generated_candidates=Greek Fire
