qid,type,question,gold,prediction,em,f1,chain_complete,gap_type,repair_steps,gold_support_titles,naive_bm25_top5_titles,arag_read_titles,arag_search_found_titles,reader_full_titles,naive_support_title_recall,arag_read_support_title_recall,arag_search_found_support_title_recall,reader_full_support_title_recall,support_title_recall,naive_evidence_entity_coverage,arag_read_evidence_entity_coverage,arag_search_found_evidence_entity_coverage,reader_full_evidence_entity_coverage,evidence_entity_coverage
91edc89c0bdc11eba7f7acde48001122,compositional,Where does the founder of Les Films Du Losange work at?,Cahiers du cinéma,Les films du losange,0.0,0.2857,False,disconnected,B_repair,les films du losange | éric rohmer,les films du losange | les films du poisson | sky dayton,les films du losange,john de margheriti | les films du losange | marie rivière,benoît pilon | cyrus massoumi | john de margheriti | les films du losange | les films du poisson | luc besson | marie rivière | sky dayton | tsuruichi hayashi | éric rohmer,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
cd80e22a08d711ebbd9aac1f6bf848b6,bridge_comparison,Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,yes,yes,1.0,1.0,True,complete,,alberto cavallone | le salamandre | steno director | susanna whipped cream,alberto cavallone | le salamandre | steno director | susanna whipped cream,,brian kennedy gallery director | luc besson | place of birth | susanna whipped cream,alberto cavallone | ben cura | brian johnson special effects artist | hanro smitsman | ian barry director | jason moore director | le salamandre | peter levin | steno director | susanna whipped cream,1.0,0.0,0.25,1.0,1.0,0.7142857142857143,0.0,0.42857142857142855,0.7142857142857143,0.7142857142857143
ab94845c0baf11ebab90acde48001122,inference,Who is Wisigard's father-in-law?,Theuderic I,Theuderic I,1.0,1.0,False,short_chain,A+_enhancement,theudebert i | wisigard,bill dundee | mohammad ilyas cricketer | peter burroughs | wisigard,theudebert i | wisigard,eystein glumra | stephen v of hungary | theudebert i | wisigard,barthold butenschøn sr | bill dundee | james armour master mason | john adams merchant | ludwig von westphalen | mohammad ilyas cricketer | ogawa mataji | peter burroughs | theudebert i | wisigard,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
d347b6500bdb11eba7f7acde48001122,compositional,Which country the director of film Hotel By The Hour is from?,Austria,Germany,0.0,0.0,False,missing_entities,A+_enhancement,hotel by hour | rolf olsen actor,dana blankstein | hotel by hour,hotel by hour,brian kennedy gallery director | hotel by hour | luc besson,dana blankstein | hotel by hour | ian barry director | john donatich | john farrell businessman | keir pearson | michael govan | olav aaraas | peter levin | rolf olsen actor,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
672e556408de11ebbd9eac1f6bf848b6,comparison,"Who lived longer, Friedrich Paschen or Ernst Bessey?",Friedrich Paschen,Friedrich Paschen,1.0,1.0,True,complete,A+_enhancement,ernst bessey | friedrich paschen,arnošt kreuz | ernest friedrich gilg | friedrich paschen | justin historian,,ernst bessey | friedrich paschen,arnošt kreuz | ernest friedrich gilg | ernst bessey | ernst pringsheim jr | fred h frank | friedrich paschen | gaius julius aquila | justin historian | maximus of tyre | r charlton poetsongwriter,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
396b04e7089911ebbd77ac1f6bf848b6,bridge_comparison,"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",Blood Of The Losers,Blood Of The Losers,1.0,1.0,False,missing_entities,A+_enhancement,arthur rosson | blood of losers | fighting demon | michele soavi,blood of losers | fighting demon,buffalo bill in tomahawk territory,baree son of kazan 1925 film | beasley smith | blood of losers | brian kennedy gallery director | fighting demon | ford australia | luc besson | michele soavi | place of birth,arthur rosson | blood of losers | claude weisz | fighting demon | fred roy krug | jacques décombe | michele soavi | sepideh farsi | w augustus barratt | yolonda ross,0.5,0.0,0.75,1.0,1.0,0.6666666666666666,0.0,0.8333333333333334,1.0,1.0
f6e8ecc80bae11ebab90acde48001122,inference,Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Gruffudd Fychan II,Gruffudd Fychan II,1.0,1.0,True,complete,,ieuan ab owain glyndŵr | owain glyndŵr,ieuan ab owain glyndŵr | owen tudor,,,alys ferch owain glyndŵr | catrin ferch owain glyndŵr | fred le deux | gruffudd ab owain glyndŵr | henry krause | ieuan ab owain glyndŵr | kaya alp | maredudd ab owain glyndŵr | owain glyndŵr | owen tudor,0.5,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0
390da94e08a411ebbd7cac1f6bf848b6,bridge_comparison,"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",Dokuz Dağın Efesi,Dokuz Dağın Efesi,1.0,1.0,False,missing_entities,A+_enhancement,carl froelich | dokuz dağın efesi | life and loves of tschaikovsky | metin erksan,carl froelich | dokuz dağın efesi | life and loves of tschaikovsky,,dokuz dağın efesi | life and loves of tschaikovsky,barefoot contessa | beethovens great love | carl froelich | christine collister | dokuz dağın efesi | honey bruce | life and loves of tschaikovsky | magic bow | metin erksan | mozart 1955 film,0.75,0.0,0.5,1.0,1.0,0.8333333333333334,0.0,0.6666666666666666,1.0,1.0
01b2d6ae0bdd11eba7f7acde48001122,compositional,What is the date of birth of Frederick Of Liege's father?,1027,1027,1.0,1.0,False,missing_entities,A+_enhancement,albert iii count of namur | frederick of liege,brian saunders weightlifter | frederick of denmark bishop | frederick of liege | terence robinson | theodred ii bishop of elmham,,albert iii count of namur | barthold butenschøn sr | beatrice of nuremberg | eystein glumra | frederick of liege | hasanaga sadigov | place of birth | stephen v of hungary,albert iii count of namur | brian saunders weightlifter | duke eugen of württemberg 1758–1822 | etan boritzer | frederick nassau de zuylestein | frederick of denmark bishop | frederick of liege | frederick of montbéliard | terence robinson | theodred ii bishop of elmham,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0
21eb30140bde11eba7f7acde48001122,compositional,"Where did the director of film Nalini By Day, Nancy By Night graduate from?",Mount Holyoke College,Mount Holyoke College and Temple University,0.0,0.6667,False,missing_entities,A+_enhancement,nalini by day nancy by night | sonali gulati,nalini by day nancy by night | now where did 7th company get to,sonali gulati,etan boritzer | jeanjacques rousseau | jesús rosas marcano | nalini by day nancy by night | sonali gulati,clash by night 1963 film | escape by night 1937 film | ian barry director | nada zeidan | nalini by day nancy by night | nor moon by night | now where did 7th company get to | peter levin | seventh company outdoors | sonali gulati,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
