qid,question,prediction,gold,em,f1
91edc89c0bdc11eba7f7acde48001122,Where does the founder of Les Films Du Losange work at?,Not specified,Cahiers du cinéma,0,0.0000
cd80e22a08d711ebbd9aac1f6bf848b6,Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,yes,yes,1,1.0000
ab94845c0baf11ebab90acde48001122,Who is Wisigard's father-in-law?,unknown,Theuderic I,0,0.0000
d347b6500bdb11eba7f7acde48001122,Which country the director of film Hotel By The Hour is from?,Austria,Austria,1,1.0000
672e556408de11ebbd9eac1f6bf848b6,"Who lived longer, Friedrich Paschen or Ernst Bessey?",insufficient information,Friedrich Paschen,0,0.0000
396b04e7089911ebbd77ac1f6bf848b6,"Which film has the director born later, The Fighting Demon or Blood Of The Losers?","Hence, the knowledge graph does *not support determining* who was born later. But the question demands an answer — and in such cases, if one birth date is known and the other is entirely absent, and no triple implies Soavi was born before Rosson (and logically he couldn’t be, since Rosson died in 1960), then Soavi *must* have been born after 1886 — but that inference uses real-world logic, which is prohibited",Blood Of The Losers,0,0.0000
f6e8ecc80bae11ebab90acde48001122,Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Gruffudd Fychan II,Gruffudd Fychan II,1,1.0000
390da94e08a411ebbd7cac1f6bf848b6,"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",insufficient information,Dokuz Dağın Efesi,0,0.0000
01b2d6ae0bdd11eba7f7acde48001122,What is the date of birth of Frederick Of Liege's father?,unknown,1027,0,0.0000
21eb30140bde11eba7f7acde48001122,"Where did the director of film Nalini By Day, Nancy By Night graduate from?",unknown,Mount Holyoke College,0,0.0000
8c6ba65608e511ebbda4ac1f6bf848b6,"Which film has the director born later, Brutti Di Notte or Bir Türk'E Gönül Verdim?",insufficient information,Bir Türk'E Gönül Verdim,0,0.0000
435eb4480baf11ebab90acde48001122,Who is Rostislav I Of Kiev's paternal grandfather?,Vladimir II Monomakh,Vladimir II Monomakh,1,1.0000
2cc66d74089011ebbd72ac1f6bf848b6,"Which film has the director born later, Life Hits or It'S In The Air?",Life Hits,Life Hits,1,1.0000
95f1b1b6087511ebbd67ac1f6bf848b6,"Which film whose director is younger, A Night'S Adventure or Insaciable?",insufficient information,Insaciable,0,0.0000
fcc41df80bda11eba7f7acde48001122,What is the place of birth of the composer of film Men With Brooms?,unknown,Calgary,0,0.0000
eec1dcfb08b911ebbd88ac1f6bf848b6,"Which film has the director born later, Battle Of Memories or The Wedding Of Lilli Marlene?",Battle of Memories,Battle Of Memories,1,1.0000
d64d24180bd911eba7f7acde48001122,Where was the director of film Aylwin (Film) born?,England,"Weston-super-Mare, Somerset",0,0.0000
5d18eb8408e311ebbda4ac1f6bf848b6,"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay,Hanuman Patal Vijay,1,1.0000
8b16280408ce11ebbd94ac1f6bf848b6,Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,no,yes,0,0.0000
8dfa054a0bda11eba7f7acde48001122,What is the date of death of Peter Dale Scott's mother?,unknown,28 November 1993,0,0.0000
a7f5782a0bdb11eba7f7acde48001122,Where did the founder of Ford Australia die?,unknown,Dearborn,0,0.0000
9f500386089111ebbd73ac1f6bf848b6,"Which film has the director who is older than the other, Rolling In Money or A Fine, Windy Day? ",Rolling in Money,Rolling In Money,1,1.0000
95561eb008e111ebbda2ac1f6bf848b6,"Which film has the director born later, Best Of The Best 3: No Turning Back or Ven Mi Corazón Te Llama?",insufficient information,Best Of The Best 3: No Turning Back,0,0.0000
f8819f3308a011ebbd78ac1f6bf848b6,"Which film has the director who died later, The Death Kiss or Her Luck In London?",insufficient information,Her Luck In London,0,0.0000
22a62e140bde11eba7f7acde48001122,"When did Joanna Of Aragon, Countess Of Foix's mother die?",unknown,23 October 1378,0,0.0000
f64d2f04086111ebbd5dac1f6bf848b6,"Which film whose director is younger, Hell To Pay (2014 Film) or Darwin'S Nightmare?",insufficient information,Darwin'S Nightmare,0,0.0000
