qid,question,prediction,gold,em,f1,error
5adf37955542993a75d2642e,"What year did the actor, who appeared in ""One Life to Live"" and ""General Hospital"" in 2012, earn a Daytime Emmy Award?",2013,1994,0,0.0000,
5adfb790554299603e418389,What do Eragrostis and Rhexia have in common?,Both are genera of flowering plants.,plant genus,0,0.0000,
5abc7d6d5542993a06baf8f3,Kevin Yorn an American entertainment attorney who represents an Australian actor who  played the role of Josh Taylor in what soap opera?,Neighbours,Neighbours,1,1.0000,
5ae2d59755429928c42394ec,"Who has a wider scope of profession, Hrag Vartanian or Hovsep Pushman?",Hrag Vartanian,Hrag Vartanian,1,1.0000,
5a8637415542994775f60724,"Which species is native to Asia, Corokia or Rhodotypos?",Rhodotypos,Rhodotypos,1,1.0000,
5a81d0515542990a1d231ed4,Where is the casino that Summer Nights takes place in?,Flamingo Las Vegas,"Las Vegas Strip in Paradise, Nevada",0,0.4444,
5a78c69e55429974737f787c,"Who was born first, Ronnie Radke or Dave Brockie?",Dave Brockie,Dave Brockie,1,1.0000,
5a711ef85542994082a3e5ac,"Which hospital, the Psychiatric Institute of Washington or Howard University Hospital, is known for serving the African American community including former slaves?",Howard University Hospital,Howard University Hospital,1,1.0000,
5a8008b95542992097ad2fcf,"The Light Princess was inspired by ""what"" literary tale published by Charles Perrault in 1697?",Sleeping Beauty,Sleeping Beauty,1,1.0000,
5ade949b5542997c77adee63,The city Charles Prince Airport is approximately 16 km northwest of was called Salisbury until what year?,1982,1982,1,1.0000,
5a82626655429966c78a6a08,"Who has been a member of more music bands, Ian MacKaye or Brody Dalle?",Ian Thomas Garner MacKaye,Ian Thomas Garner MacKaye,1,1.0000,
5ac23f98554299636651994b,The Companions were the first of what type of cavalry?,shock cavalry,Shock troops,0,0.5000,
5ab4eecb55429942dd415faa,Did the band Daniel Amos experiment with the same genre of music performed by Digital Summer?,no,no,1,1.0000,
5ab2c418554299545a2cfa67,Ckm wz. 25 Hotchkiss was a Polish derivative of what machine gun that became the standard machine gun of the French Army during World War I?,Hotchkiss M1914,Mle 1914 Hotchkiss machine gun,0,0.2857,
5a8639545542991e771815c7,"Whose given first name is longer, Theo Angelopoulos and Budd Boetticher (nicknames)?",Theo,"Theodoros ""Theo"" Angelopoulos",0,0.5000,
5ab804065542990e739ec7e0,"Are the bands ""Black Grape"" and ""Balance and Composure"" from the same country?",no,no,1,1.0000,
5ae4758b5542995dadf24342,"Who has a wider scope of profession,  José Echegaray or Graham Swift?",José Echegaray,José Echegaray,1,1.0000,
5a7b73ad5542997c3ec9718c,1990 Film Lionheart stars this actor who is best known for what type of films?,"{""prior"": """", ""judge_answer"": """"}",martial arts action films,0,0.0000,
5ac29f58554299657fa28fe4,"The figure skater who was coached to Olympic, World, and national titles by Richard Callaghan was born in what year?",1978,1982,0,0.0000,
5a8d93bf554299068b959d46,Are both Yangzhou and Jiangyan District considered coastal cities?,no,no,1,1.0000,
5a8dad37554299068b959d94,Both Phaedranassa and Mitella are considered the classification of what level of species?,genus,genus,1,1.0000,
5ac0d1555542997d64295a5d,"Which actor and film director is from German Jewish descent, Kurt Gerron or Dell Henderson?",Kurt Gerron,Kurt Gerron,1,1.0000,
5ab7b0575542992aa3b8c83d,Bally's & Paris station is on the monorail that is of what length?,4.7 km,3.9 mi,0,0.0000,
5ac3e22d5542997ea680c976,"Michelle Lewis has written songs for which ""Lizzie McGuire"" actress? ",Hilary Duff,Hilary Duff,1,1.0000,
5ab2b61d5542991669774065,Who did the actor who played a bellhop in Dead Heat on a Merry-Go-Round play in Star Wars?,Han Solo,Han Solo,1,1.0000,
5a7bbcd65542997c3ec97268,"who is older, Maria Sharapova or Chanda Rubin?",Chanda Rubin,"Chanda Rubin (born February 18, 1976)",0,0.5000,
5a8510a25542994c784ddaf0,What profession does Stephen Jay Gould and Ann Beattie have in common?,writer,writer,1,1.0000,
5ac13f425542991316484a96,"Which airport is used for both public and military, Shenandoah Valley Regional Airport or Louisville International Airport?",Louisville International Airport,Louisville International Airport,1,1.0000,
5a73672b5542991f29ee2de7,Who played for the 1983–84 New York Knicks season and also had a younger brother who played in the NBA during his career,Bernard King,Bernard King,1,1.0000,
5a7313865542994cef4bc442,What type of bank organization is Pondicherry Gramin Bank that it operates in different States of India?,Regional Rural Bank,Regional Rural Bank,1,1.0000,
5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,yes,1,1.0000,
5ae1d4e75542997f29b3c143,Which member of Northern Kings was born on 14 January 1966?,Marko Tapani Hietala,Marco Hietala,0,0.4000,
5a7c290c5542990527d55468,"Lawton–Fort Sill Regional Airport, a charter base for value airline Allegiant Air, is situated in which U.S. state?",Oklahoma,Oklahoma,1,1.0000,
