qid,question,prediction,gold,em,f1,error
91edc89c0bdc11eba7f7acde48001122,Where does the founder of Les Films Du Losange work at?,Les films du losange,Cahiers du cinéma,0,0.2857,
cd80e22a08d711ebbd9aac1f6bf848b6,Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,Yes,yes,1,1.0000,
ab94845c0baf11ebab90acde48001122,Who is Wisigard's father-in-law?,Unknown,Theuderic I,0,0.0000,
d347b6500bdb11eba7f7acde48001122,Which country the director of film Hotel By The Hour is from?,West German,Austria,0,0.0000,
672e556408de11ebbd9eac1f6bf848b6,"Who lived longer, Friedrich Paschen or Ernst Bessey?",上下文中未提及Ernst Bessey。,Friedrich Paschen,0,0.0000,
396b04e7089911ebbd77ac1f6bf848b6,"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",Blood of the Losers,Blood Of The Losers,1,1.0000,
f6e8ecc80bae11ebab90acde48001122,Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Owain Glyndŵr,Gruffudd Fychan II,0,0.0000,
390da94e08a411ebbd7cac1f6bf848b6,"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",Dokuz Dağın Efesi,Dokuz Dağın Efesi,1,1.0000,
01b2d6ae0bdd11eba7f7acde48001122,What is the date of birth of Frederick Of Liege's father?,"Albert III, Count of Namur",1027,0,0.0000,
21eb30140bde11eba7f7acde48001122,"Where did the director of film Nalini By Day, Nancy By Night graduate from?",未提及,Mount Holyoke College,0,0.0000,
8c6ba65608e511ebbda4ac1f6bf848b6,"Which film has the director born later, Brutti Di Notte or Bir Türk'E Gönül Verdim?",Brutti Di Notte,Bir Türk'E Gönül Verdim,0,0.0000,
435eb4480baf11ebab90acde48001122,Who is Rostislav I Of Kiev's paternal grandfather?,Mstislav I of Kiev,Vladimir II Monomakh,0,0.0000,
2cc66d74089011ebbd72ac1f6bf848b6,"Which film has the director born later, Life Hits or It'S In The Air?",Life Hits,Life Hits,1,1.0000,
95f1b1b6087511ebbd67ac1f6bf848b6,"Which film whose director is younger, A Night'S Adventure or Insaciable?",Cannot determine,Insaciable,0,0.0000,
fcc41df80bda11eba7f7acde48001122,What is the place of birth of the composer of film Men With Brooms?,Not specified,Calgary,0,0.0000,
eec1dcfb08b911ebbd88ac1f6bf848b6,"Which film has the director born later, Battle Of Memories or The Wedding Of Lilli Marlene?",Battle of Memories,Battle Of Memories,1,1.0000,
d64d24180bd911eba7f7acde48001122,Where was the director of film Aylwin (Film) born?,Not stated,"Weston-super-Mare, Somerset",0,0.0000,
5d18eb8408e311ebbda4ac1f6bf848b6,"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Cannot determine,Hanuman Patal Vijay,0,0.0000,
8b16280408ce11ebbd94ac1f6bf848b6,Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,No,yes,0,0.0000,
8dfa054a0bda11eba7f7acde48001122,What is the date of death of Peter Dale Scott's mother?,Date unknown,28 November 1993,0,0.0000,
a7f5782a0bdb11eba7f7acde48001122,Where did the founder of Ford Australia die?,Not specified,Dearborn,0,0.0000,
9f500386089111ebbd73ac1f6bf848b6,"Which film has the director who is older than the other, Rolling In Money or A Fine, Windy Day? ",Rolling in Money,Rolling In Money,1,1.0000,
95561eb008e111ebbda2ac1f6bf848b6,"Which film has the director born later, Best Of The Best 3: No Turning Back or Ven Mi Corazón Te Llama?",Best of the Best 3,Best Of The Best 3: No Turning Back,0,0.7273,
f8819f3308a011ebbd78ac1f6bf848b6,"Which film has the director who died later, The Death Kiss or Her Luck In London?",The Death Kiss,Her Luck In London,0,0.0000,
22a62e140bde11eba7f7acde48001122,"When did Joanna Of Aragon, Countess Of Foix's mother die?",未提及,23 October 1378,0,0.0000,
f64d2f04086111ebbd5dac1f6bf848b6,"Which film whose director is younger, Hell To Pay (2014 Film) or Darwin'S Nightmare?",Darwin's Nightmare,Darwin'S Nightmare,1,1.0000,
fec1cc4a087911ebbd67ac1f6bf848b6,"Which film has the director who was born later, Así En El Cielo Como En La Tierra or Buck And The Preacher?",No information,Así En El Cielo Como En La Tierra,0,0.0000,
0729da3c0bde11eba7f7acde48001122,"What is the date of death of Philibert I, Duke Of Savoy's mother?",Unknown,23 August 1478,0,0.0000,
65a915cc0bda11eba7f7acde48001122,Which country Count Of St. Germain's father is from?,上下文中未提及“Count Of St. Germain”及其父亲的信息。,Hungarian,0,0.0000,
77dc576a0bdd11eba7f7acde48001122,Where was the director of film He'S A Cockeyed Wonder born?,Not specified,London,0,0.0000,
d18d25fa084f11ebbd56ac1f6bf848b6,"Which film has the director died first, Köpekler Adası or Twisted Mistress?",Köpekler Adası,Twisted Mistress,0,0.0000,
1a3535d20bdd11eba7f7acde48001122,Which award the composer of film Howrah Bridge (Film) earned?,未提及,Filmfare Award,0,0.0000,
cab3205608d411ebbd98ac1f6bf848b6,"Which film came out earlier, Der Wixxer or The Butterfly Room?",Der Wixxer,Der Wixxer,1,1.0000,
06df84220bda11eba7f7acde48001122,"Where was the husband of Wilhelmine Of Prussia, Margravine Of Brandenburg-Bayreuth born?",Not specified,Weferlingen,0,0.0000,
36ecf33a0bde11eba7f7acde48001122,Where did the director of film Things Behind The Sun study?,未提及,"UCLA School of Theater, Film and Television",0,0.0000,
c2ccbd23087811ebbd67ac1f6bf848b6,"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",No,no,1,1.0000,
ce9cda1608a111ebbd79ac1f6bf848b6,"Which film was released first, My Friend Pinto or Vindhyarani?",No information about Vindhyarani,Vindhyarani,0,0.4000,
c4bdfbea08c911ebbd92ac1f6bf848b6,Was Ausaf Ali or Steven Perry born first?,Ausaf Ali,Ausaf Ali,1,1.0000,
500cf3b40bda11eba7f7acde48001122,What is the place of birth of Aurelio De Laurentiis's father?,Rome,Torre Annunziata,0,0.0000,
f0441dea0bd911eba7f7acde48001122,Where was the founder of magazine Amazing Stories born?,未提及,Luxembourgish,0,0.0000,
afc5b57c0bdd11eba7f7acde48001122,Where did Crow Foot's father die?,"December 15, 1890",United States,0,0.0000,
e66957060baf11ebab90acde48001122,Who is Amalie Adlerberg's stepfather?,Maximilian-Emmanuel Graf von und,"Karl Alexander, 5th Prince of Thurn and Taxis",0,0.0000,
e1d2c3a708af11ebbd83ac1f6bf848b6,"Which film whose director is younger, Outlaw King or Gunman'S Walk?",Outlaw King,Outlaw King,1,1.0000,
2e2fabfc095e11ebbdafac1f6bf848b6,"Which film was released more recently, Scandal At The Girls' School or One Dangerous Night?",Scandal at the Girls' School,Scandal At The Girls' School,1,1.0000,
0d4b4cfc0bde11eba7f7acde48001122,Which country Ronald Dewolf's father is from?,United States,American,0,0.0000,
16915f740bdc11eba7f7acde48001122,Where was the place of death of the director of film Romulus And The Sabines?,未提及,Le Plessis-Bouchard,0,0.0000,
7cb81afc0bd911eba7f7acde48001122,What is the place of birth of the director of film The Return Of Swamp Thing?,Not specified,New York,0,0.0000,
ff2926840bd911eba7f7acde48001122,Who is the father of the director of film The Thousand Faces Of Dunjia?,Unknown,Yuen Siu-tien,0,0.0000,
bf3aacfc086211ebbd5dac1f6bf848b6,"Which film has the director who is older, Aardram or Land And Freedom?",Cannot determine,Land And Freedom,0,0.0000,
08292515088411ebbd6dac1f6bf848b6,"Which film came out first, Stella'S Oorlog or Sampathige Savaal?",Stella's Oorlog,Sampathige Savaal,0,0.0000,
dfe5c5e8088211ebbd6dac1f6bf848b6,"Who was born later, Jean-Jacques Rousseau or Richard Cawley?",Richard Cawley,Richard Cawley,1,1.0000,
7b3f24c80bdd11eba7f7acde48001122,Where did the director of film Journal Of A Crime die?,未提及,New York,0,0.0000,
c6339a040bdd11eba7f7acde48001122,What is the place of birth of the director of film Growing Up Smith?,未提及,Melbourne,0,0.0000,
9bdc27880bda11eba7f7acde48001122,What is the place of birth of the composer of song Bullet (Misfits Song)?,Not specified,"Lodi, New Jersey",0,0.0000,
95fc33400bd911eba7f7acde48001122,What nationality is Prince Napoléon Bonaparte's father?,French,French,1,1.0000,
680863e20bdd11eba7f7acde48001122,Where was the place of death of the director of film Sensational Janine?,未提及,Gräfelfing,0,0.0000,
1c5985f60bde11eba7f7acde48001122,"What is the date of death of Charles Mills, 1St Baron Hillingdon's father?",4 October 1872,4 October 1872,1,1.0000,
6034a51a093811ebbdaeac1f6bf848b6,"Do the movies Seven Sinners (1936 Film) and Everyday (Film), originate from the same country?",否,yes,0,0.0000,
01245b60088411ebbd6dac1f6bf848b6,"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?",Jailhouse Rock,"Occhio, Malocchio, Prezzemolo E Finocchio",0,0.0000,
6392cf220bde11eba7f7acde48001122,What is the place of birth of Henrik Selberg's father?,Unknown,Flora,0,0.0000,
21906d320bde11eba7f7acde48001122,Where did M. K. Muthu's father die?,未提及,kauvery hospital,0,0.0000,
474ea44a0bb011ebab90acde48001122,"Who is the paternal grandfather of James Fitzgerald, 8Th Earl Of Desmond?","James FitzGerald, 6th Earl of Desmond","James FitzGerald, 6th Earl of Desmond",1,1.0000,
063270da08af11ebbd83ac1f6bf848b6,"Which film has the director who was born later, Attack Of Life: The Bang Tango Movie or King Kong (2005 Film)?",Attack of Life,Attack Of Life: The Bang Tango Movie,0,0.6667,
dcfe2a500bd911eba7f7acde48001122,Where did Niklas Frank's father die?,Nuremberg,Nuremberg,1,1.0000,
16a549d40bb011ebab90acde48001122,Who is Mary Of Bourbon's paternal grandfather?,Unknown,Francis,0,0.0000,
8cdd86760baf11ebab90acde48001122,Who is the paternal grandfather of Diarmait Ua Briain?,Unknown,Tadc mac Briain,0,0.0000,
a00f22640bdb11eba7f7acde48001122,Where did the director of film Search And Destroy (1995 Film) study?,未提及,California Institute of the Arts,0,0.0000,
4ca173ac0bdb11eba7f7acde48001122,What is the place of birth of the director of film Pages Of Life (Film)?,Not specified,Concepción,0,0.0000,
3bb9590e0bb011ebab90acde48001122,Who is the paternal grandfather of Uskhal Khan Tögüs Temür?,Unknown,Khutughtu Khan,0,0.0000,
a638412a0bdb11eba7f7acde48001122,Where did the director of film Carbon (Film) study?,未提及,Film and Television Institute of India,0,0.0000,
f4a616ac0bae11ebab90acde48001122,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?",Unknown,"Adelaide, Countess of Soissons",0,0.0000,
1222be100baf11ebab90acde48001122,Who is Sultan Hatun's mother-in-law?,Valide Sultan Emine Hatun,Emine Hatun,0,0.6667,
080aff1c0bde11eba7f7acde48001122,"What is the place of birth of Geoffrey Plantagenet, Count Of Anjou's wife?",Not specified,Westminster,0,0.0000,
1c0f99380bdd11eba7f7acde48001122,Where was the director of film War Of The Buttons (1994 Film) born?,Not stated,"Buffalo, New York",0,0.0000,
04f1ab4808c611ebbd90ac1f6bf848b6,"Which film was released more recently, Sacred Silence or Ek Haseena Thi Ek Deewana Tha?",Ek Haseena Thi Ek Deewana Tha,Ek Haseena Thi Ek Deewana Tha,1,1.0000,
38056cd40bde11eba7f7acde48001122,"When did Thomas Knox, 3Rd Earl Of Ranfurly's father die?",未提及,21 March 1858,0,0.0000,
4925ce16086c11ebbd61ac1f6bf848b6,"Do the bands The Gordons (Duo) and Sacred Rite (Band), originate from the same country?",是,yes,0,0.0000,
3e5580c00bb011ebab90acde48001122,Who is Antoine-Charles Taschereau's paternal grandfather?,Gabriel-Elzéar Taschereau,Thomas-Jacques Taschereau,0,0.5000,
f66aecd208bc11ebbd89ac1f6bf848b6,Do both films Masters Of The Sea (Film) and The Auction Mart have the directors from the same country?,No,yes,0,0.0000,
6a667eb40bdb11eba7f7acde48001122,"Who is the spouse of the composer of film Kalle Stropp, Grodan Boll Och Deras Vänner?",Not mentioned,Eva Funck,0,0.0000,
c8edf21008d811ebbd9cac1f6bf848b6,Do both directors of films The Curse Of Iku and Cops And Robbers (1973 Film) have the same nationality?,否,yes,0,0.0000,
bbc587ba0bda11eba7f7acde48001122,"Where was the wife of Otto I, Count Of Guelders born?",Bavaria,Kelheim,0,0.0000,
6b0a2728087811ebbd67ac1f6bf848b6,"Who is younger, Zhang Lifang or Lalengzama Vangchhia?",Lalengzama Vangchhia,Lalengzama Vangchhia,1,1.0000,
f7c2a5380bdd11eba7f7acde48001122,Where was the place of death of Thomas Sheridan (Soldier)'s father?,London,London,1,1.0000,
c664947c086f11ebbd62ac1f6bf848b6,"Which film whose director is younger, A Social Celebrity or A Sound Of Trumpets?",A Sound of Trumpets,A Sound Of Trumpets,1,1.0000,
20d63fe60bdb11eba7f7acde48001122,What is the date of death of the founder of Suez Canal Company?,Unknown,7 December 1894,0,0.0000,
b897a2aa08cb11ebbd92ac1f6bf848b6,"Which film came out first, João Da Mata or Beautiful Girls (Film)?",João da Mata,João Da Mata,1,1.0000,
060cb332087711ebbd67ac1f6bf848b6,"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",Goran Veselinovski,Goran Veselinovski,1,1.0000,
c2c7992e08bd11ebbd8aac1f6bf848b6,"Which film has the director who was born later, Budak Nafsu or The Bilingual Lover?",Budak Nafsu,Budak Nafsu,1,1.0000,
77bf469e0bdc11eba7f7acde48001122,Where was the director of film Mark (Film) born?,Not specified,Toronto,0,0.0000,
77f5a3dc0bb011ebab90acde48001122,Who is the maternal grandfather of Princess Alexandra Of Hanover (Born 1999)?,Prince Rainier III,"Rainier III, Prince of Monaco",0,0.7500,
3c9ec66a089011ebbd72ac1f6bf848b6,Are both Alex Bregman and Francesca Sterlacci from the same country?,No,yes,0,0.0000,
20806979089c11ebbd78ac1f6bf848b6,"Which film has the director who was born later, Aloha, Bobby And Rose or The Elusive Avengers?","Aloha, Bobby and Rose","Aloha, Bobby And Rose",1,1.0000,
8afe75c40bda11eba7f7acde48001122,What nationality is the performer of song Pareho Tayo?,Filipino,Filipino,1,1.0000,
85cc412008b611ebbd88ac1f6bf848b6,Are the directors of both films Captain Calamity (Film) and Heaven Only Knows (Film) from the same country?,Yes,yes,1,1.0000,
1eb0c10808d611ebbd98ac1f6bf848b6,"Which film has the director died later, The Man From Lost River or Mcveagh Of The South Seas?",Cannot determine,The Man From Lost River,0,0.0000,
6db45b3208bf11ebbd8aac1f6bf848b6,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",Return of the Hero,Return Of The Hero,1,1.0000,
1a76997408a311ebbd7bac1f6bf848b6,"Which film has the director died earlier, Crime Against Joe or Vagabonderne På Bakkegården?",Cannot determine,Vagabonderne På Bakkegården,0,0.0000,
c7ea6b080baf11ebab90acde48001122,Who is the maternal grandmother of Flavia Julia Constantia?,Unknown,Eutropia,0,0.0000,
391fed160bb011ebab90acde48001122,Who is the paternal grandmother of Princess Feodora Of Hohenlohe-Langenburg?,Princess Feodora of Leiningen,Countess Amalie Henriette of Solms-Baruth,0,0.2222,
714be734088c11ebbd6fac1f6bf848b6,"Which film has the director who died earlier, Slums Of Berlin or Phantom India?",Slums of Berlin,Slums Of Berlin,1,1.0000,
55660c0a086b11ebbd5fac1f6bf848b6,"Which film has the director who was born earlier, Toto In Paris or The Railroad Man?",The Railroad Man,Toto In Paris,0,0.0000,
5f2bce30088111ebbd6dac1f6bf848b6,Do both films King Uncle and Kanyaka (Film) have the directors from the same country?,无法确定,yes,0,0.0000,
28986e180bde11eba7f7acde48001122,Where was the place of death of Anne Devereux's husband?,Unknown,Banbury,0,0.0000,
008b58060baf11ebab90acde48001122,"Who is Augustus Berkeley, 4Th Earl Of Berkeley's maternal grandmother?",Lady Louisa Lennox,Anne Brudenell,0,0.0000,
7be06c080baf11ebab90acde48001122,Who is the paternal grandfather of Chiang Hsiao-Wu?,Chiang Kai-shek,Chiang Kai-shek,1,1.0000,
952c943508a311ebbd7bac1f6bf848b6,"Which museum was founded first, Casoria Contemporary Art Museum or Leverian Collection?",Not specified,Leverian Collection,0,0.0000,
fbef09ef089511ebbd75ac1f6bf848b6,"Which film has the director died later, The Big Cube or Rangila Ratan?",No information,Rangila Ratan,0,0.0000,
f3fb7e0708b411ebbd88ac1f6bf848b6,"Which film has the director who was born later, I'Ll Take Sweden or His Majesty, The American?",I'll Take Sweden,I'Ll Take Sweden,1,1.0000,
c4f5ca80089611ebbd76ac1f6bf848b6,"Which film has the director who is older, A Medal For Benny or King Of Chinatown?",无法确定,A Medal For Benny,0,0.0000,
086e57720bdb11eba7f7acde48001122,What nationality is Julia Parker (Astrologer)'s husband?,British,British,1,1.0000,
803aef7808d311ebbd96ac1f6bf848b6,"Are the directors of films Who Are You, Polly Maggoo? and Mother Night (Film) both from the same country?",无法确定,yes,0,0.0000,
40b3f66a08cb11ebbd92ac1f6bf848b6,"Which film was released more recently, Fine Dead Girls or Venussian Tabutasco?",Fine Dead Girls,Venussian Tabutasco,0,0.0000,
f7a6322e08c511ebbd8fac1f6bf848b6,"Do both films, Humko Deewana Kar Gaye and Dozakh In Search Of Heaven, have the directors who are from the same country?",信息不足,yes,0,0.0000,
9bdf26a0085a11ebbd5cac1f6bf848b6,"Who lived longer, Neil Lloyd Macky or Domenico Cosselli?",Neil Lloyd Macky,Neil Lloyd Macky,1,1.0000,
bf3fd3ba08cd11ebbd93ac1f6bf848b6,"Which film has the director born earlier, Farfallon or Man On The Tracks?",Man on the Tracks,Man On The Tracks,1,1.0000,
