qid,type,question,gold,prediction,em,f1,chain_complete,gap_type,gold_entity_count,gold_entity_coverage,gold_pair_count,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_relation_complete,gold_evidence_nodes_connected,matched_gold_entities,missing_gold_entities,repair_attempted,repair_outcome,repair_triples_extracted,repair_triples_added,repair_llm_calls
91edc89c0bdc11eba7f7acde48001122,compositional,Where does the founder of Les Films Du Losange work at?,Cahiers du cinéma,Les films du losange,0.0,0.2857,False,disconnected,3,1.0,2,1.0,0.5,True,False,True,Cahiers du cinéma | Les films du losange | Éric Rohmer,,True,repair_residual_gap,5,5,1
cd80e22a08d711ebbd9aac1f6bf848b6,bridge_comparison,Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,yes,yes,1.0,1.0,True,complete,7,0.7142857142857143,4,0.5,0.0,False,False,False,Alberto Cavallone | Italian | Le salamandre | Steno | Susanna Whipped Cream,Steno (director) | yes,False,not_attempted,0,0,0
ab94845c0baf11ebab90acde48001122,inference,Who is Wisigard's father-in-law?,Theuderic I,Theuderic I,1.0,1.0,False,short_chain,3,1.0,2,1.0,0.0,True,False,True,Theudebert I | Theuderic I | Wisigard,,True,repair_residual_gap,11,11,1
d347b6500bdb11eba7f7acde48001122,compositional,Which country the director of film Hotel By The Hour is from?,Austria,Germany,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.5,0.0,False,False,False,Hotel by the Hour | Rolf Olsen,Austria,True,repair_residual_gap,16,16,1
672e556408de11ebbd9eac1f6bf848b6,comparison,"Who lived longer, Friedrich Paschen or Ernst Bessey?",Friedrich Paschen,Friedrich Paschen,1.0,1.0,True,complete,6,0.16666666666666666,4,0.0,0.0,False,False,False,Ernst Bessey,"22 January 1865 | 25 February 1947 | February 20, 1877 | Friedrich Paschen | July 17, 1957",True,repair_to_complete,14,14,1
396b04e7089911ebbd77ac1f6bf848b6,bridge_comparison,"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",Blood Of The Losers,Blood Of The Losers,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.75,0.25,False,False,False,3 July 1957 | Arthur Rosson | Blood Of The Losers | Blood of the Losers | Michele Soavi | The Fighting Demon,24 August 1886,True,repair_residual_gap,15,15,2
f6e8ecc80bae11ebab90acde48001122,inference,Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Gruffudd Fychan II,Gruffudd Fychan II,1.0,1.0,True,complete,3,1.0,2,0.5,0.0,False,False,True,Gruffudd Fychan II | Ieuan ab Owain Glyndŵr | Owain Glyndŵr,,False,not_attempted,0,0,0
390da94e08a411ebbd7cac1f6bf848b6,bridge_comparison,"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",Dokuz Dağın Efesi,Dokuz Dağın Efesi,1.0,1.0,False,missing_entities,6,0.6666666666666666,4,0.5,0.25,False,False,False,"August 4, 2012 | Carl Froelich | Dokuz Dağın Efesi | Metin Erksan",12 February 1953 | The Life and Loves of Tschaikovsky,True,repair_residual_gap,26,26,3
01b2d6ae0bdd11eba7f7acde48001122,compositional,What is the date of birth of Frederick Of Liege's father?,1027,1027,1.0,1.0,False,missing_entities,3,0.6666666666666666,2,0.0,0.0,False,False,False,"1027 | Albert III, Count of Namur",Frederick was Bishop of Liege,True,repair_residual_gap,5,5,1
21eb30140bde11eba7f7acde48001122,compositional,"Where did the director of film Nalini By Day, Nancy By Night graduate from?",Mount Holyoke College,Mount Holyoke College and Temple University,0.0,0.6667,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,"Mount Holyoke College | Nalini by Day, Nancy by Night | Sonali Gulati",,True,repair_residual_gap,36,36,3
8c6ba65608e511ebbda4ac1f6bf848b6,bridge_comparison,"Which film has the director born later, Brutti Di Notte or Bir Türk'E Gönül Verdim?",Bir Türk'E Gönül Verdim,Bir Türk'E Gönül Verdim,1.0,1.0,True,complete,7,0.8571428571428571,4,0.75,0.25,False,False,False,"Bir Türk'E Gönül Verdim | Bir Türk'e Gönül Verdim | Brutti di notte | Giovanni Grimaldi | Halit Refiğ | November 14, 1917",5 March 1934,False,not_attempted,0,0,0
435eb4480baf11ebab90acde48001122,inference,Who is Rostislav I Of Kiev's paternal grandfather?,Vladimir II Monomakh,Vladimir II Monomakh,1.0,1.0,False,missing_entities,3,1.0,2,0.0,0.0,False,False,True,Mstislav I of Kiev | Rostislav I of Kiev | Vladimir II Monomakh,,True,repair_residual_gap,19,19,1
2cc66d74089011ebbd72ac1f6bf848b6,bridge_comparison,"Which film has the director born later, Life Hits or It'S In The Air?",Life Hits,Life Hits,1.0,1.0,False,missing_entities,6,1.0,4,0.75,0.25,False,False,False,10 November 1901 | 14 December 1972 | Anthony Kimmins | Christian E. Christiansen | It's in the Air | Life Hits,,True,repair_residual_gap,43,43,7
95f1b1b6087511ebbd67ac1f6bf848b6,bridge_comparison,"Which film whose director is younger, A Night'S Adventure or Insaciable?",Insaciable,Insaciable,1.0,1.0,False,short_chain,7,1.0,4,0.75,0.0,False,False,True,12 July 1892 | 3 May 1914 | A Night's Adventure | Armando Bo | Armando Bó | Harry Piel | Insaciable,,False,not_attempted,0,0,0
fcc41df80bda11eba7f7acde48001122,compositional,What is the place of birth of the composer of film Men With Brooms?,Calgary,"Calgary, Alberta",0.0,0.6667,False,missing_entities,3,0.6666666666666666,2,0.5,0.0,False,False,False,Men with Brooms | Paul Gross,Calgary,True,repair_residual_gap,33,33,2
eec1dcfb08b911ebbd88ac1f6bf848b6,bridge_comparison,"Which film has the director born later, Battle Of Memories or The Wedding Of Lilli Marlene?",Battle Of Memories,Battle Of Memories,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.75,0.0,False,False,False,3 March 1981 | Arthur Crabtree | Battle Of Memories | Battle of Memories | Leste Chen | The Wedding of Lilli Marlene,29 October 1900,True,repair_residual_gap,29,29,3
d64d24180bd911eba7f7acde48001122,compositional,Where was the director of film Aylwin (Film) born?,"Weston-super-Mare, Somerset",Weston-super-Mare,0.0,0.6667,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Aylwin | Henry Edwards,"Weston-super-Mare, Somerset",True,repair_to_complete,13,13,2
5d18eb8408e311ebbda4ac1f6bf848b6,bridge_comparison,"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay,Hanuman Patal Vijay,1.0,1.0,False,missing_entities,6,1.0,4,0.75,0.0,False,False,False,22 May 1911 | 4 April 1960 | Andrew Lau | Hanuman Patal Vijay | Homi Wadia | Young and Dangerous: The Prequel,,True,repair_residual_gap,25,25,3
8b16280408ce11ebbd94ac1f6bf848b6,comparison,Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,yes,no,0.0,0.0,True,complete,5,0.6,2,0.5,0.0,False,False,False,American | Gotthilf Heinrich Ernst Muhlenberg | Todd Williams,United States | yes,False,not_attempted,0,0,0
8dfa054a0bda11eba7f7acde48001122,compositional,What is the date of death of Peter Dale Scott's mother?,28 November 1993,28 November 1993,1.0,1.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,28 November 1993 | Marian Dale Scott | Peter Dale Scott,,False,not_attempted,0,0,0
a7f5782a0bdb11eba7f7acde48001122,compositional,Where did the founder of Ford Australia die?,Dearborn,Not specified,0.0,0.0,True,complete,3,0.6666666666666666,2,0.0,0.0,False,False,False,Ford Australia | Henry Ford,Dearborn,False,not_attempted,0,0,0
9f500386089111ebbd73ac1f6bf848b6,bridge_comparison,"Which film has the director who is older than the other, Rolling In Money or A Fine, Windy Day? ",Rolling In Money,Rolling In Money,1.0,1.0,False,missing_entities,8,0.75,4,0.75,0.0,False,False,False,"A Fine, Windy Day | Albert Parker | Lee Jang-ho | May 15, 1945 | Rolling In Money | Rolling in Money","Albert Parker (director) | May 11, 1885",True,repair_residual_gap,19,19,3
95561eb008e111ebbda2ac1f6bf848b6,bridge_comparison,"Which film has the director born later, Best Of The Best 3: No Turning Back or Ven Mi Corazón Te Llama?",Best Of The Best 3: No Turning Back,Best Of The Best 3: No Turning Back,1.0,1.0,False,missing_entities,7,1.0,4,0.75,0.0,False,False,False,"Best Of The Best 3: No Turning Back | Best of the Best 3: No Turning Back | Manuel Romero | Phillip Rhee | September 21, 1891 | September 7, 1960 | Ven mi corazón te llama",,True,repair_residual_gap,32,32,7
