qid,question,prediction,gold,em,f1,error
5a7b1e22554299042af8f6e4,What award won by only twelve people has a man who Ted Kooshian has performed with won?,EGOT,EGOT,1,1.0000,
5ae0e183554299422ee9953f,"Did Qionghai or Suining  have a population of 658,798 in 2002? ",Suining,"In 2002, Suining had a population of 658,798.",0,0.2500,
5a88e3cc5542997e5c09a6c2,What location is shared by both Great Neck School District and Saddle Rock Elementary School?,"Great Neck, New York","New York, United States",0,0.5000,
5ae0c29c5542993d6555ec46,What was the profession of the one who wrote a song on a 2005 album he collaborated on with Marc Predka?,hip hop artist,"professional wrestler, actor, and hip hop musician",0,0.4000,
5ae796af554299540e5a5623,"Where was the capital of the Arab country, in which the Aulacodes peribocalis moth is found, relocated to?  ",Aden,Aden,1,1.0000,
5abbcfaf5542993f40c73ba9,Nicole Gordon won a silver medal with Sara Petersen int he women's doubles at a competition held in what city?,Manchester,Manchester,1,1.0000,
5a738b855542992d56e7e363,"Which hospital opened first, St. Elizabeths Hospital or Providence Hospital?",St. Elizabeths Hospital,St. Elizabeths Hospital,1,1.0000,
5a8b7e9c5542995d1e6f13c1,Psychopsis and Aubrieta are both genuses of which type of plants?,flowering plants,flowering plants,1,1.0000,
5a840e395542992ef85e239d,Are both The Straight Story and Frozen films of the same genre?,no,no,1,1.0000,
5ae5415055429908b63265b7,Japanese Weekend School of New York has offices in the entertainment complex in what section of New Rochelle?,Downtown,Downtown,1,1.0000,
5a7ca74c55429907fabeefe9,Who was born first Edward Keonjian or Aram Saroyan?,Edward Keonjian,Dr. Edward Keonjian,0,0.8000,
5ab465095542991751b4d75a,During which period the sedan variant of the Volvo V50 car was manufactured?,2004–2012,1995 to 2012,0,0.0000,
5ae763aa5542995703ce8c09,Who voices Chef Mung Daal in the American animated television series created by C. H. Greenblatt?,William Dwight Schultz,William Dwight Schultz,1,1.0000,
5a8f7c9a55429918e830d239,Which NFL team did both Don Looney and DeSean Jackson play for?,Philadelphia Eagles,Philadelphia Eagles,1,1.0000,
5ae383e15542992f92d822fb,"Which film is newer, The Apple Dumpling Gang or Heavyweights?",Heavyweights,Heavyweights,1,1.0000,
5adcd4325542994d58a2f6ed,Are Colocasia and Coronilla both flowering plants?,yes,yes,1,1.0000,
5a7a33205542996a35c1712f,"Out of two American colonies that had a series of skirmishes and raids between 1701 and 1765 at the disputed border, which British proprietary colony became a royal colony on the northeast coast of North America?",Province of New York,Province of New York,1,1.0000,
5a8459aa5542996488c2e51e, Kenneth Anderson served under the General who was which President of the United States?,Dwight D. Eisenhower,34th,0,0.0000,
5ae39e9c5542990afbd1e195,"Wangaratta Wahine, an album featuring the work of an Australian Living Treasure, was recorded by what band?",The Captain Matchbox Whoopee Band,The Captain Matchbox Whoopee Band,1,1.0000,
5ae4d0ff55429913cc204511,Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,The Smashing Pumpkins,Greek Fire,0,0.0000,
5a85fa815542996432c57155,Where was the movement that August Brancart published literature from centerd?,Belgian,Western Europe,0,0.0000,
5a89e4585542992e4fca8454,"George Reed was, along with which Drake University player, one of the greatest running backs in CFL history?",Mike Pringle and Johnny Bright,Johnny D. Bright,0,0.5000,
5a7148d25542994082a3e766,"Which of these artists is older, Warrel Dane or Roy Khan?",Warrel Dane,Warrel Dane,1,1.0000,
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1,1.0000,
5a7cdcbf55429907fabef04f,"Which film came out first, Still Kicking: Six Artistic Women of Project Arts & Longevity or Time Bombs?",Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,1,1.0000,
5a863114554299211dda2aa5,What man won an Academy Award for his work on a drama based on the life of Rocky Graziano?,Joseph Ruttenberg,Francis Keogh Gleason,0,0.0000,
5adec53655429975fa854f87,Are Kim Dong-jun and Charlie Harper both singers?,no,yes,0,0.0000,
5a72ac8a5542992359bc3164,Which body of water required more intensive man made barriers the Dundee Canal or Lake Worth Lagoon?,Lake Worth Lagoon,The Dundee Canal,0,0.0000,
5ab7de455542992aa3b8c864,Janet Williams has performed with an internationally recognized solo pianist whose recordings have earned him five what?,Grammy awards,Grammy awards,1,1.0000,
5a84d80c5542992a431d1ab5,"Which building is used for more different uses, MiMA or 270 Park Avenue?",270 Park Avenue,MiMA,0,0.0000,
5a85a2845542997175ce1fe1,Are both Aloinopsis and Eriogonum ice plants?,no,no,1,1.0000,
5adcfbf45542990d50227d86,Into Dust is a song by the alternative rock band formed in which city?,Yokohama,"Santa Monica, California",0,0.0000,
5a7d2afd5542995f4f402221,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan,Ferdi Taygan,1,1.0000,
5a7d1e685542995ed0d165f7,How many women in total competed at the Asian Games the year Lee Young-Sun achieved her personal best throw of 58.87 metres?,Two,179 women,0,0.0000,
5ab439f055429942dd415eef,Which airport Albany International Airport and Dane County Regional Airport is nearer its local town ?,Dane County Regional Airport,Dane County Regional Airport,1,1.0000,
5a8d4cf35542994ba4e3dc5f,"What are the letters of the radio station serves the area comprising all of Belknap County, among others?",WMTK,WANH,0,0.0000,
5add016e5542992c1e3a250b,What made the man who abolished the Consell in 1718 resume the throne?,"The man who abolished the Consell in 1718 was Philip V of Spain. He resumed the throne in 1724 after abdicating in favor of his son Louis I, who died of smallpox after seven months. Philip V returned to power due to Louis I’s death.  
Answer: Louis I’s death",upon his son's death,0,0.0800,
5ac4efa85542991943173a04,"Which body of water flows through more states, Tamiami Canal or Genesee River?",Genesee River,Genesee River,1,1.0000,
5ab474135542991751b4d77b,"At the 46th Grammy Awards, which award did the album by The White Stripes, which included the song Seven Nation Army, win?",Best Alternative Music Album,Best Alternative Music Album,1,1.0000,
5a83880e554299123d8c214e,Suicide's 1977 released album features a song based on what brand's comic character?,Garfield,Marvel,0,0.0000,
5a7458ff55429979e2882918,"That Darn Cat and Honey, I Blew Up the Kid are both what?",Disney films,comedy,0,0.0000,
5ab8494d55429916710eb016,"Which was founded first, University of California, Santa Barbara or Hamdard University?","University of California, Santa Barbara","University of California, Santa Barbara",1,1.0000,
5adfff0755429925eb1afbce,What is 25 miles south of Groom Lake?,"Rachel, Nevada","Rachel, Nevada",1,1.0000,
5a7283355542991f9a20c4b1,Who is the grandfather to Frederick II and was the Holy Roman Emperor until death?,Frederick Barbarossa,Frederick I,0,0.5000,
5a8fa2955542992414482b11,"Which film was directed by Wayne Coles-Janess, Tender Fictions or Bougainville – Our Island Our Fight?",Bougainville – Our Island Our Fight,Bougainville,0,0.2857,
5a888abc5542997e5c09a604,"Which was released first, Kolejka or Ghettopoly?",Kolejka,Ghettopoly,0,0.0000,
5ae0d7bf5542990adbacf67b,"Which Walt Disney film was released earlier, The Rescuers or The Muppets?",The Rescuers,The Muppets,0,0.0000,
5ae446fc5542995ad6573d24,What Mexican singer released the song Todos Me Miran?,Gloria Trevi,Gloria Trevi,1,1.0000,
5ac4e593554299076e296e37,"OU812 was the second album to feature a vocalist that also played what instrument in ""Finish What Ya Started""?",rhythm guitar,rhythm guitar,1,1.0000,
5a72af155542992359bc316c,"What movie included Robin Williams along with Joshua Aaron Charles, set in 1959 at a Vermont boarding school?",Dead Poets Society,Dead Poets Society,1,1.0000,
5ac23f5655429951e9e684d9,Both the Pulandian District and Hailar District are located within which country?,People's Republic of China,China,0,0.4000,
5ab5d4eb5542992aa134a3aa,"how many films has the director of ""Girl 6"" produced since 1983?",0,over 35 films,0,0.0000,
5a75f0bf5542994ccc91866b,"Who is younger, Pelle Almqvist or Steve Winwood?",Pelle Almqvist,Pelle Almqvist,1,1.0000,
5a7129685542994082a3e5fa,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",none,Vitor Belfort,0,0.0000,
5a7220f055429971e9dc92ac,What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850,Volvo 850,1,1.0000,
5a8787915542996e4f30882e,"Which film was produced first, Dangal or The Man from Snowy River II?",The Man from Snowy River II,The Man from Snowy River II,1,1.0000,
