qid,question,current,gold,current_em,top_answer,top_score,top_count,top_sources_n,current_score,margin,oracle_top_em,any_alt_exact,num_alts
5a794f8155429970f5fffe95,"Who was born first, Martin Degville or Richie Furay?",Martin Degville,"""Richie"" Furay",0,Richie Furay,90.60000000000007,58,14,58.87,31.730000000000068,1,1,1
5a7f244255429934daa2fcec,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",Trivium,"Grammar, logic, and rhetoric",0,liberal arts and science courses,89.90000000000005,57,14,58.87,31.03000000000005,0,0,1
5a7265a95542992359bc307a,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,2008,in 2000,0,1963,89.90000000000005,57,14,58.87,31.03000000000005,0,0,1
5aba77be55429955dce3ee44,How many degrees and minutes south of the equator are the bone fragments of the extinct Ascension night heron found?,7°56′S,7°56',0,0°57′S,89.90000000000005,57,14,58.87,31.03000000000005,0,0,1
5ab6e865554299710c8d1fad,Between Danny Elfman and Fran Healy who has worked in more diverse fields?,Danny Elfman,Elfman,0,Fran Healy,84.96000000000004,54,14,67.52000000000001,17.440000000000026,0,0,1
5ae4ca6355429913cc204507,What are the two categories of the non-electric version of the neighbourhood electric vehicle?,Low-speed vehicle and medium-speed vehicle,"light quadricycles (L6e), and heavy quadricycles (L7e)",0,Motorised quadricycle,78.12000000000005,48,14,71.58000000000003,6.5400000000000205,0,0,1
5abd0097554299700f9d7956,What is the scentific name of the butterfly that is widespread in the seventh-largest country in the world?,Papilio machaon,I. helicon,0,Consul fabius,70.18000000000004,51,14,78.59000000000005,-8.41000000000001,0,0,1
5a88b3b4554299206df2b336,What type of art does The Consul and Arlecchino have in common?,Painting,music,0,Street art,70.18000000000004,51,14,78.59000000000005,-8.41000000000001,0,0,1
5adde17f5542992200553b87,For which NBA team did the MVP of the 2013 McDonald's All-American Boys Game play?,Cleveland Cavaliers,Orlando Magic,0,Minnesota Timberwolves,69.98000000000003,41,14,68.06000000000002,1.920000000000016,0,0,2
5a78d16455429974737f78bb,"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",Ernst Messerschmid,Ernst Willi Messerschmid,0,Philippe Perrin,69.98000000000003,41,14,79.72000000000004,-9.740000000000009,0,0,1
5a7f40de5542992e7d278cc8,What star if the Burbs was Canadian?,Rick Moranis,"Richard ""Rick"" Ducommun",0,no,63.40000000000001,34,13,68.06000000000002,-4.660000000000004,0,0,2
5a75321555429916b0164290,What is the title of the person who is Head of the Department of Biological Sciences at the University of Lincoln,Head of the Department of Biological Sciences,Doctor,0,George Holmes Professor of Biological Sciences and Psychology,59.62000000000002,42,14,82.62000000000005,-23.00000000000003,0,0,1
5a75428b55429916b01642c8,What was the name of the first soundtrack album made by the woman who is referred to as the Queen of Pop?,Who's That Girl: Original Motion Picture Soundtrack,Who's That Girl,0,Chastity,58.42000000000003,41,14,89.74000000000004,-31.320000000000007,0,0,2
5abe4fd95542991f6610613d,"Swingin' Down Yonder is the first full-length, 12-inch album recorded by a singer known by what nickname?",The King of the Crooners,"""King of Cool""",0,Dean Martin,57.740000000000016,42,14,91.96000000000002,-34.220000000000006,0,0,2
